rowid,kepid,kepoi_name,filename
2501,9886361,K02732.01,lightcurve_1260_KIC9886361.csv
716,11493431,K01434.01,lightcurve_1261_KIC11493431.csv
4767,4138008,K04742.01,lightcurve_1262_KIC4138008.csv
1529,10525027,K02006.01,lightcurve_1263_KIC10525027.csv
3649,5906694,K04069.01,lightcurve_1266_KIC5906694.csv
3611,7447200,K00676.01,lightcurve_1267_KIC7447200.csv
1837,8233702,K02140.01,lightcurve_1269_KIC8233702.csv
2000,4349452,K00244.01,lightcurve_126_KIC4349452.csv
2602,9881077,K02751.01,lightcurve_1270_KIC9881077.csv
4508,6276791,K04477.01,lightcurve_1273_KIC6276791.csv
3507,6347299,K00661.01,lightcurve_1274_KIC6347299.csv
599,3247268,K01089.01,lightcurve_1275_KIC3247268.csv
128,5272878,K00826.01,lightcurve_1277_KIC5272878.csv
2745,11137180,K03027.01,lightcurve_127_KIC11137180.csv
3420,5113822,K00638.01,lightcurve_1280_KIC5113822.csv
340,3218908,K01108.01,lightcurve_1281_KIC3218908.csv
4497,10220837,K04613.01,lightcurve_1282_KIC10220837.csv
2290,8481129,K02402.01,lightcurve_1285_KIC8481129.csv
1887,3749978,K02308.01,lightcurve_1286_KIC3749978.csv
2149,11080405,K02442.01,lightcurve_1287_KIC11080405.csv
2087,8631504,K02503.01,lightcurve_1288_KIC8631504.csv
3624,4478168,K00626.01,lightcurve_1289_KIC4478168.csv
3730,5688683,K04097.01,lightcurve_1293_KIC5688683.csv
5259,3728432,K03893.01,lightcurve_1294_KIC3728432.csv
3424,8557374,K00692.01,lightcurve_1295_KIC8557374.csv
2084,8478994,K00245.01,lightcurve_1298_KIC8478994.csv
3257,6707833,K00563.01,lightcurve_1299_KIC6707833.csv
903,8874090,K01404.01,lightcurve_129_KIC8874090.csv
1413,6026438,K02045.01,lightcurve_1301_KIC6026438.csv
1490,3128552,K02055.01,lightcurve_1306_KIC3128552.csv
2353,5480640,K02707.01,lightcurve_1308_KIC5480640.csv
5180,8552719,K01792.02,lightcurve_130_KIC8552719.csv
5154,3629330,K03418.01,lightcurve_1310_KIC3629330.csv
1902,12116380,K02155.01,lightcurve_1311_KIC12116380.csv
2022,8611832,K02414.01,lightcurve_1312_KIC8611832.csv
1926,10723367,K02236.01,lightcurve_1314_KIC10723367.csv
1096,6543893,K01627.01,lightcurve_1315_KIC6543893.csv
565,9766437,K00949.01,lightcurve_1317_KIC9766437.csv
1235,4741126,K01534.01,lightcurve_1319_KIC4741126.csv
3193,12459913,K00602.01,lightcurve_131_KIC12459913.csv
1960,8505920,K02094.01,lightcurve_1320_KIC8505920.csv
1912,6062929,K02315.01,lightcurve_1324_KIC6062929.csv
4082,7257966,K04185.01,lightcurve_1325_KIC7257966.csv
1979,6105462,K02098.01,lightcurve_1326_KIC6105462.csv
2331,8292840,K00260.02,lightcurve_1327_KIC8292840.csv
2795,11499192,K03120.01,lightcurve_1329_KIC11499192.csv
302,9347899,K00935.01,lightcurve_1331_KIC9347899.csv
567,9775938,K00951.01,lightcurve_1334_KIC9775938.csv
5052,3561464,K03398.01,lightcurve_1336_KIC3561464.csv
3145,9957627,K00592.01,lightcurve_1338_KIC9957627.csv
2168,3354846,K02444.01,lightcurve_1339_KIC3354846.csv
200,7118364,K00873.01,lightcurve_133_KIC7118364.csv
2263,11465950,K02620.01,lightcurve_1340_KIC11465950.csv
503,1865042,K01002.01,lightcurve_1341_KIC1865042.csv
1467,8257205,K01986.01,lightcurve_1342_KIC8257205.csv
2631,6186964,K02839.01,lightcurve_1345_KIC6186964.csv
3013,11192998,K00481.01,lightcurve_1349_KIC11192998.csv
3731,6607644,K04159.01,lightcurve_1350_KIC6607644.csv
2008,7212184,K02487.01,lightcurve_1351_KIC7212184.csv
