rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_model_snr,koi_num_transits,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,target_encoded
145,5456651,K00835.02,CONFIRMED,56.2279271,0.000313,-0.000313,3.57,0.134,-0.134,863.0,44.9,-44.9,0.7,0.208,-0.496,0.028683,0.00558,-0.00256,4.47051,6.86231,-3.48016,2.37,0.17,-0.09,0.2707,89.56,366.0,4.22,1.02,-0.6,90.7,34.8,-34.8,4959.0,99.0,0.0,4.603,0.011,-0.06,0.16,0.15,-0.15,0.756,0.054,-0.027,0.849,0.025,-0.06,20.9,18.0,0,0,0,0,1
147,5531576,K00837.01,CONFIRMED,7.953547,1.91e-05,-1.91e-05,2.6312,0.0595,-0.0595,875.0,25.3,-25.3,0.3,0.145,-0.3,0.026448,0.000736,-0.000874,3.48717,0.84143,-0.70458,2.25,0.07,-0.14,0.0712,89.24,696.0,55.37,7.15,-10.12,22.68,5.5,-5.5,4768.0,76.0,-85.0,4.536,0.056,-0.016,0.18,0.15,-0.15,0.779,0.023,-0.049,0.759,0.046,-0.027,38.4,166.0,0,0,0,0,1
148,5531576,K00837.02,CONFIRMED,4.14451656,1.44e-05,-1.44e-05,2.3421,0.0984,-0.0984,392.0,19.8,-19.8,0.004,0.471,-0.003,0.017441,0.000954,-0.000583,2.87358,0.16056,-1.29249,1.48,0.05,-0.09,0.0461,89.99,864.0,132.08,17.05,-24.15,13.767,0.769,-0.769,4768.0,76.0,-85.0,4.536,0.056,-0.016,0.18,0.15,-0.15,0.779,0.023,-0.049,0.759,0.046,-0.027,22.8,316.0,0,0,0,0,1
150,6291653,K00850.01,CONFIRMED,10.52629458,1.78e-06,-1.78e-06,2.5211,0.0257,-0.0257,9770.0,26.4,-26.4,0.644,0.031,-0.045,0.095143,0.000586,-0.00148,3.85261,0.52975,-0.41055,8.24,1.48,-0.8,0.088,88.69,713.0,61.16,34.56,-16.93,28.26,3.9,-3.9,5386.0,159.0,-159.0,4.553,0.056,-0.104,-0.2,0.3,-0.3,0.793,0.143,-0.077,0.82,0.096,-0.078,482.3,129.0,0,0,0,0,1
151,6392727,K00851.01,CONFIRMED,4.583520948,4.18e-06,-4.18e-06,2.7055,0.0321,-0.0321,3810.0,44.5,-44.5,0.045,0.319,-0.045,0.056287,0.00103,-0.000406,2.30111,0.04666,-0.51606,5.39,1.6,-0.53,0.0535,89.81,1038.0,274.98,239.18,-77.52,13.672,0.277,-0.277,5815.0,157.0,-175.0,4.54,0.038,-0.212,-0.12,0.3,-0.3,0.877,0.26,-0.087,0.973,0.105,-0.126,99.5,297.0,0,0,0,0,1
152,6422070,K00852.01,CONFIRMED,3.76181843,1.14e-05,-1.14e-05,3.5176,0.0901,-0.0901,511.0,16.4,-16.4,0.926,0.0,-0.663,0.025656,0.000201,-0.00467,0.06927,0.8334,-0.01023,2.66,0.73,-0.26,0.047,75.62,1121.0,372.62,300.78,-104.51,3.73,1.8,-1.8,5653.0,154.0,-171.0,4.472,0.062,-0.188,0.1,0.25,-0.3,0.949,0.26,-0.093,0.974,0.1,-0.111,35.9,273.0,0,0,0,0,1
153,6428700,K00853.01,CONFIRMED,8.20396958,1.49e-05,-1.49e-05,2.9667,0.0529,-0.0529,1020.0,21.2,-21.2,0.823,0.001,-0.58,0.033372,0.00262,-0.00439,0.65082,2.14828,-0.05356,3.01,0.24,-0.3,0.0735,86.43,742.0,71.5,22.24,-20.23,13.23,6.2,-6.2,5015.0,149.0,-149.0,4.499,0.09,-0.06,0.1,0.25,-0.3,0.826,0.066,-0.083,0.785,0.078,-0.056,54.4,162.0,0,0,0,0,1
154,6428700,K00853.02,CONFIRMED,14.49645186,6.36e-05,-6.36e-05,4.016,0.305,-0.305,648.0,26.7,-26.7,0.97,0.002,-0.663,0.033377,0.000459,-0.00936,0.0859,3.63537,-0.00589,3.01,0.24,-0.3,0.1074,84.34,613.0,33.48,10.42,-9.47,9.85,4.9,-4.9,5015.0,149.0,-149.0,4.499,0.09,-0.06,0.1,0.25,-0.3,0.826,0.066,-0.083,0.785,0.078,-0.056,25.7,89.0,0,0,0,0,1
155,5792202,K00841.03,CONFIRMED,6.54626149,2.67e-05,-2.67e-05,2.75,0.111,-0.111,656.0,30.0,-30.0,0.644,0.295,-0.438,0.024555,0.00575,-0.00161,1.35056,1.41306,-1.21438,2.19,0.22,-0.08,0.0668,87.46,810.0,101.78,31.02,-14.45,14.52,5.1,-5.1,5251.0,105.0,-105.0,4.581,0.01,-0.085,0.21,0.15,-0.15,0.817,0.08,-0.029,0.926,0.032,-0.064,24.8,200.0,0,0,0,0,1
156,5794379,K00842.01,CONFIRMED,12.71809866,2.32e-05,-2.32e-05,3.0957,0.0562,-0.0562,1150.0,24.5,-24.5,0.427,0.016,-0.427,0.030871,0.000231,-0.00143,2.98907,1.29799,-0.15507,2.31,0.17,-0.22,0.0934,89.17,562.0,23.6,6.56,-6.6,29.5,12.8,-12.8,4702.0,128.0,-142.0,4.592,0.058,-0.027,-0.22,0.3,-0.3,0.686,0.049,-0.067,0.67,0.081,-0.05,52.7,107.0,0,0,0,0,1
157,5794379,K00842.02,CONFIRMED,36.06588163,8.31e-05,-8.31e-05,4.3246,0.0634,-0.0634,1560.0,32.1,-32.1,0.26,0.145,-0.26,0.035281,0.000778,-0.000796,3.78452,0.5797,-0.73166,2.64,0.19,-0.26,0.1871,89.77,397.0,5.88,1.64,-1.64,63.84,9.8,-9.8,4702.0,128.0,-142.0,4.592,0.058,-0.027,-0.22,0.3,-0.3,0.686,0.049,-0.067,0.67,0.081,-0.05,51.7,38.0,0,0,0,0,1
158,5881688,K00843.01,CONFIRMED,4.190425659,1.61e-06,-1.61e-06,2.8589,0.0224,-0.0224,2880.0,14.1,-14.1,0.458,0.004,-0.377,0.050076,0.00173,-0.000957,1.28404,0.39973,-0.38192,6.21,2.05,-0.82,0.0535,87.52,1234.0,547.9,549.04,-194.78,10.6,3.3,-3.3,6073.0,190.0,-232.0,4.392,0.072,-0.217,0.2,0.2,-0.3,1.135,0.375,-0.15,1.163,0.151,-0.151,240.6,318.0,0,0,0,0,1
