rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_model_snr,koi_num_transits,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
4065,8741470,K04251.01,CANDIDATE,6.23968392,2.44e-05,-2.44e-05,0.668,0.18,-0.18,156.0,22.8,-22.8,0.679,0.049,-0.537,0.012425,0.00111,-0.00497,74.86053,378.13943,-71.43889,1.55,0.41,-0.3,0.0654,89.27,1060.0,299.03,235.11,-125.1,53.6,24.6,-24.6,5751.0,156.0,-156.0,4.303,0.18,-0.18,0.0,0.25,-0.3,1.143,0.305,-0.222,0.956,0.125,-0.091,9.0,215.0,0,0,0,0
4066,11125613,K02485.02,CONFIRMED,3.60082855,1.73e-05,-1.73e-05,1.938,0.123,-0.123,296.0,19.5,-19.5,0.395,0.064,-0.395,0.015617,0.000647,-0.000864,3.43025,1.63957,-1.00121,1.36,0.04,-0.09,0.0422,88.3,927.0,174.45,24.19,-32.29,13.3,6.4,-6.4,4838.0,77.0,-77.0,4.524,0.063,-0.018,0.18,0.15,-0.15,0.796,0.027,-0.054,0.771,0.047,-0.027,17.9,296.0,0,0,0,0
4067,10525049,K04252.01,CONFIRMED,15.5714121,0.000108,-0.000108,2.294,0.222,-0.222,174.0,17.2,-17.2,0.312,0.139,-0.312,0.011886,0.00075,-0.000729,9.70376,5.5205,-4.40967,0.72,0.05,-0.04,0.1022,89.64,399.0,5.98,1.27,-1.14,49.9,14.2,-14.2,3872.0,77.0,-84.0,4.714,0.027,-0.03,0.12,0.15,-0.15,0.557,0.033,-0.033,0.585,0.028,-0.038,13.0,82.0,0,0,0,0
4068,9896018,K02579.02,CONFIRMED,3.59645081,3.64e-05,-3.64e-05,2.661,0.213,-0.213,150.0,11.1,-11.1,0.781,0.176,-0.545,0.012319,0.00251,-0.00127,0.44132,1.3317,-0.11806,1.66,0.29,-0.23,0.0473,83.31,1327.0,732.82,323.35,-221.37,6.71,2.9,-2.9,5887.0,70.0,-79.0,4.292,0.12,-0.12,0.16,0.15,-0.15,1.235,0.213,-0.175,1.09,0.07,-0.078,16.2,335.0,0,0,0,0
4069,5095082,K04320.01,CONFIRMED,20.6579443,0.000351,-0.000351,8.798,0.405,-0.405,98.2,8.0,-8.0,0.188,0.269,-0.188,0.008937,0.000552,-0.000465,0.24955,0.074,-0.07792,1.27,0.23,-0.29,0.1435,89.39,728.0,66.27,30.95,-29.23,17.79,5.3,-5.3,5468.0,81.0,-65.0,4.171,0.231,-0.116,0.14,0.15,-0.1,1.306,0.23,-0.306,0.923,0.065,-0.038,14.1,66.0,0,0,0,0
4070,12418891,K04321.01,FALSE POSITIVE,0.760941405,4.14e-06,-4.14e-06,1.773,0.152,-0.152,187.0,15.4,-15.4,0.26,0.208,-0.26,0.012468,0.000797,-0.000546,1.14102,0.42581,-0.50871,1.18,0.27,-0.11,0.0162,85.44,1817.0,2591.44,1712.4,-714.29,3.27,1.2,-1.2,5629.0,152.0,-169.0,4.553,0.038,-0.152,0.07,0.2,-0.35,0.87,0.193,-0.083,0.987,0.073,-0.125,15.2,1757.0,0,0,1,1
4071,3839294,K07669.01,FALSE POSITIVE,137.665706,0.00183,-0.00183,3.732,0.266,-0.266,537.0,54.0,-54.0,0.041,0.416,-0.041,0.020465,0.00162,-0.00102,23.68565,4.03824,-11.00505,15.41,1.06,-2.48,0.6051,89.99,720.0,63.38,12.08,-21.59,287.4,49.0,-49.0,4832.0,50.0,-79.0,2.953,0.03,-0.027,0.04,0.1,-0.15,6.897,0.475,-1.109,1.553,0.189,-0.441,11.7,9.0,1,0,0,0
4072,7698701,K04322.01,FALSE POSITIVE,370.90237,0.0115,-0.0115,10.558,0.625,-0.625,546.0,46.8,-46.8,0.0566,0.4033,-0.0565,0.021312,0.00125,-0.00108,2.81856,0.49663,-1.1495,1.97,0.8,-0.15,0.9892,89.95,238.0,0.76,0.91,-0.18,273.7,48.2,-48.2,5835.0,159.0,-159.0,4.554,0.029,-0.286,-0.24,0.28,-0.28,0.847,0.342,-0.065,0.935,0.1,-0.103,14.7,,1,0,1,0
4073,7698701,K04322.02,FALSE POSITIVE,321.55087,0.0146,-0.0146,5.863,0.858,-0.858,397.0,58.2,-58.2,0.1608,0.2812,-0.1607,0.018217,0.000823,-0.00231,13.67671,119.47903,-9.18219,1.68,0.69,-0.12,0.8994,89.95,250.0,0.92,1.1,-0.22,421.0,204.0,-204.0,5835.0,159.0,-159.0,4.554,0.029,-0.286,-0.24,0.28,-0.28,0.847,0.342,-0.065,0.935,0.1,-0.103,8.2,,1,0,0,0
4074,2830919,K04387.01,FALSE POSITIVE,1.54038914,1.5e-05,-1.5e-05,1.683,0.217,-0.217,71.8,9.7,-9.7,0.043,0.41,-0.043,0.007768,0.00063,-0.000569,2.81301,0.40882,-2.76827,0.84,0.24,-0.13,0.0256,89.65,1638.0,1701.3,1418.98,-622.37,7.07,1.0,-1.0,5974.0,161.0,-179.0,4.422,0.101,-0.188,-0.26,0.3,-0.3,0.989,0.281,-0.152,0.944,0.13,-0.106,9.1,865.0,0,0,0,1
4075,9588822,K04388.01,FALSE POSITIVE,71.76236302,4.59e-05,-4.59e-05,29.435,0.0171,-0.0171,8590.0,8.2,-8.2,0.052,0.085,-0.036,0.083736,4e-05,-6.2e-05,0.03015,0.00013,-0.00015,25.76,7.21,-15.6,0.3784,89.85,665.0,46.35,39.26,-39.88,20.1716,0.087,-0.087,5529.0,168.0,-140.0,3.685,0.712,-0.178,-0.04,0.3,-0.25,2.817,0.789,-1.709,1.402,0.216,-0.505,1134.3,20.0,0,1,0,0
4076,2997459,K04389.01,CANDIDATE,16.3368863,0.000168,-0.000168,3.597,0.197,-0.197,226.0,20.9,-20.9,0.066,0.376,-0.066,0.013517,0.000962,-0.000588,3.06312,0.52019,-1.31109,1.27,0.34,-0.19,0.1186,89.89,642.0,40.22,42.68,-18.18,35.09,6.0,-6.0,5410.0,334.0,-371.0,4.49,0.094,-0.175,-0.1,0.3,-0.3,0.859,0.235,-0.126,0.834,0.136,-0.094,12.1,81.0,0,0,0,0
4077,8330207,K04390.01,CANDIDATE,1.63668262,1.05e-05,-1.05e-05,1.907,0.235,-0.235,922.0,88.6,-88.6,1.22,7.189,-0.518,0.254701,6.91,-0.513,0.08429,8.37397,-0.06107,103.99,36.4,-48.5,0.0304,57.74,2562.0,10160.3,10682.43,-7631.1,2.29,1.1,-1.1,5234.0,158.0,-174.0,3.436,0.402,-0.234,-0.36,0.3,-0.3,3.739,1.307,-1.743,1.39,0.192,-0.48,12.9,164.0,0,0,0,0
4078,5881813,K02744.02,CANDIDATE,11.615625,0.000153,-0.000153,2.233,0.362,-0.362,191.0,28.0,-28.0,0.977,0.007,-0.705,0.017915,0.000517,-0.00625,0.21116,21.59204,-0.07937,2.84,0.43,-1.0,0.0981,85.11,905.0,158.69,65.4,-95.39,11.46,5.7,-5.7,5332.0,88.0,-72.0,4.083,0.368,-0.092,0.18,0.2,-0.1,1.453,0.218,-0.51,0.932,0.047,-0.058,8.8,112.0,0,0,0,0
4079,11560897,K02365.02,CONFIRMED,110.978266,0.00333,-0.00333,11.312,0.65,-0.65,150.0,12.0,-12.0,0.074,0.382,-0.074,0.011132,0.000541,-0.000597,0.66317,0.59115,-0.26181,1.86,0.31,-0.38,0.4808,89.94,463.0,10.84,4.75,-4.34,75.6,33.7,-33.7,5883.0,79.0,-79.0,4.149,0.176,-0.095,0.2,0.15,-0.15,1.529,0.256,-0.313,1.205,0.089,-0.145,14.0,13.0,0,0,0,0
4080,10858737,K04183.01,FALSE POSITIVE,0.952378454,5.95e-06,-5.95e-06,3.892,0.36,-0.36,43.8,3.0,-3.0,0.996,0.057,-0.683,0.009744,0.0337,-0.00331,0.02408,0.30305,-0.00088,1.46,0.43,-0.25,0.0203,18.39,2528.0,9651.76,8362.08,-3967.61,1.049,0.508,-0.508,6963.0,192.0,-264.0,4.25,0.124,-0.186,-0.4,0.25,-0.3,1.375,0.404,-0.235,1.233,0.189,-0.171,17.4,1396.0,1,0,1,1
4081,6752002,K04184.01,CONFIRMED,6.08003714,1.67e-05,-1.67e-05,1.308,0.0835,-0.0835,184.0,12.4,-12.4,0.254,0.196,-0.254,0.012218,0.000554,-0.000652,21.56713,5.3528,-8.72362,1.07,0.09,-0.12,0.0597,89.58,808.0,100.72,32.86,-29.28,34.8,8.6,-8.6,4991.0,149.0,-134.0,4.513,0.082,-0.06,0.04,0.25,-0.3,0.804,0.069,-0.089,0.767,0.087,-0.06,17.7,219.0,0,0,0,0
4082,7257966,K04185.01,CONFIRMED,3.035206175,5.17e-06,-5.17e-06,0.6182,0.0834,-0.0834,697.0,43.9,-43.9,0.965,0.006,-0.683,0.037643,0.0158,-0.00998,6.04095,344.89703,-1.01749,3.59,0.8,-0.37,0.0394,86.14,1143.0,403.53,275.65,-115.9,14.33,7.1,-7.1,5505.0,164.0,-164.0,4.503,0.063,-0.158,-0.04,0.3,-0.3,0.873,0.195,-0.09,0.887,0.091,-0.082,19.1,438.0,0,0,0,0
4083,3644738,K07660.01,FALSE POSITIVE,358.96844,0.0292,-0.0292,21.71,1.4,-1.4,808.0,70.4,-70.4,0.151,0.302,-0.151,0.026105,0.0016,-0.00116,0.30926,0.07347,-0.1318,2.7,0.7,-0.3,0.9972,89.93,263.0,1.13,0.86,-0.35,128.2,30.5,-30.5,6117.0,170.0,-212.0,4.496,0.046,-0.184,-0.22,0.3,-0.3,0.947,0.244,-0.104,1.025,0.116,-0.142,13.3,3.0,1,0,1,0
4084,9406892,K04186.01,FALSE POSITIVE,2.21316437,1.39e-05,-1.39e-05,3.874,0.189,-0.189,116.0,5.1,-5.1,0.672,0.033,-0.509,0.010455,0.00195,-0.000556,0.15033,0.16737,-0.12703,0.95,0.18,-0.12,0.03,78.56,1374.0,841.98,506.58,-269.4,3.39,1.3,-1.3,5921.0,178.0,-160.0,4.465,0.135,-0.149,-0.96,0.3,-0.25,0.83,0.16,-0.107,0.733,0.085,-0.037,27.9,608.0,0,1,1,0
