flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
38294.7,6.2517176,0,0.0013174232,336.1549836797385,563.7807588615223,1191,34079.832,5.493463,1169.3888,0.29584876,38294.7,6.2517176,0,,,,,336.1549836797385,0.00019434032,563.7807588615223,0.00015655857,0.0010091377,-0.036428384
38307.316,6.252353,0,0.0013183828,336.15475576207837,563.780864802737,1192,34090.38,5.4939995,1169.3674,0.29566005,38307.316,6.252353,0,,,,,336.15475576207837,0.00019448367,563.780864802737,0.00015657609,0.0009308777,-0.03639962
38309.65,6.2549534,0,0.0013193422,336.1552516697092,563.7804792633171,1193,34092.426,5.4941173,1170.1903,0.29610774,38309.65,6.2549534,0,,,,,336.1552516697092,0.00019423537,563.7804792633171,0.00015648779,0.0010668953,-0.036599007
38302.062,6.2534184,0,0.0013203016,336.15497684944523,563.7803056132202,1194,34085.945,5.493753,1169.8412,0.29598996,38302.062,6.2534184,0,,,,,336.15497684944523,0.00019428665,563.7803056132202,0.00015653997,0.0008119002,-0.03671179
38304.742,6.252599,0,0.0013212609,336.1545789426055,563.7802866387833,1195,34088.004,5.4938755,1169.6694,0.29597193,38304.742,6.252599,0,,,,,336.1545789426055,0.00019426802,563.7802866387833,0.00015651136,0.00029631224,-0.03681472
38312.277,6.255126,0,0.0013222202,336.15403426925644,563.7803882576848,1196,34095.777,5.4956517,1168.2979,0.29599175,38312.277,6.255126,0,,,,,336.15403426925644,0.00019422946,563.7803882576848,0.00015648209,-0.00016153057,-0.036535878
38291.582,6.251502,0,0.0013231793,336.1538558782546,563.7806634464633,1197,34077.707,5.494055,1169.1284,0.2961168,38291.582,6.251502,0,,,,,336.1538558782546,0.00019431759,563.7806634464633,0.00015654869,-0.00013237122,-0.03638796
38283.703,6.252024,0,0.0013241385,336.15401698695456,563.7806138766208,1198,34070.82,5.492796,1168.766,0.2958574,38283.703,6.252024,0,,,,,336.15401698695456,0.00019434214,563.7806138766208,0.00015660052,7.1740564e-05,-0.0359349
38271.812,6.2545505,0,0.0013250975,336.1543485330122,563.7806566236867,1199,34060.656,5.4923816,1169.1028,0.29603335,38271.812,6.2545505,0,,,,,336.1543485330122,0.00019438991,563.7806566236867,0.00015663602,0.00026167373,-0.036352515
38269.723,6.254567,0,0.0013260565,336.15503739004845,563.7811544114586,1200,34058.85,5.492235,1170.7329,0.29593468,38269.723,6.254567,0,,,,,336.15503739004845,0.00019445109,563.7811544114586,0.00015665591,0.0005736022,-0.036059882
38276.367,6.2512765,0,0.0013270155,336.15385032996085,563.7809950498075,1201,34064.902,5.492653,1169.0132,0.29584444,38276.367,6.2512765,0,,,,,336.15385032996085,0.00019440336,563.7809950498075,0.00015665012,-1.4172828e-05,-0.03598283
38267.715,6.2541585,0,0.0013279744,336.1544112915433,563.7813289418564,1202,34056.96,5.4921255,1169.5969,0.2957838,38267.715,6.2541585,0,,,,,336.1544112915433,0.00019443718,563.7813289418564,0.00015666205,0.00055168883,-0.035892926
38269.508,6.253311,0,0.0013289332,336.15475148604787,563.7808906514874,1203,34058.613,5.4920053,1168.5763,0.29627383,38269.508,6.253311,0,,,,,336.15475148604787,0.00019438507,563.7808906514874,0.00015662459,0.0005264425,-0.03618032
38258.48,6.253046,0,0.0013298918,336.15459979702376,563.7813339989389,1204,34049.12,5.4918857,1168.7985,0.2961301,38258.48,6.253046,0,,,,,336.15459979702376,0.00019448172,563.7813339989389,0.00015669948,0.00025426046,-0.036215425
38258.996,6.251875,0,0.0013308505,336.1539946457253,563.7810233206748,1205,34049.836,5.491673,1169.3623,0.29596156,38258.996,6.251875,0,,,,,336.1539946457253,0.00019445097,563.7810233206748,0.0001566638,0.00046810327,-0.035729356
38245.28,6.2514863,0,0.0013318091,336.1544329422148,563.7810725923096,1206,34038.504,5.4910054,1168.5492,0.29589382,38245.28,6.2514863,0,,,,,336.1544329422148,0.00019451906,563.7810725923096,0.00015674013,8.887519e-05,-0.035589382
38251.617,6.2510505,0,0.0013327677,336.1544435416135,563.7814193108874,1207,34043.844,5.491161,1166.7329,0.29595974,38251.617,6.2510505,0,,,,,336.1544435416135,0.00019449939,563.7814193108874,0.00015669824,0.00015115307,-0.03573546
38247.61,6.2523284,0,0.0013337261,336.154764655888,563.7806835171917,1208,34040.086,5.490975,1167.7653,0.29589215,38247.61,6.2523284,0,,,,,336.154764655888,0.00019449969,563.7806835171917,0.0001567462,0.00027347534,-0.035923906
38257.91,6.2547383,0,0.0013346846,336.15486162057806,563.7807782450255,1209,34049.49,5.491572,1166.5674,0.2961009,38257.91,6.2547383,0,,,,,336.15486162057806,0.0001944385,563.7807782450255,0.00015669133,0.00036061378,-0.03596741
38229.797,6.2511163,0,0.0013356428,336.1547614622824,563.7810497277798,1210,34025.2,5.490057,1165.4744,0.29623172,38229.797,6.2511163,0,,,,,336.1547614622824,0.0001945658,563.7810497277798,0.0001567677,0.0005391106,-0.03574302
38230.527,6.249048,0,0.0013366011,336.1545728166024,563.7813050033083,1211,34025.723,5.4901905,1167.4712,0.29563114,38230.527,6.249048,0,,,,,336.1545728166024,0.00019456352,563.7813050033083,0.00015678597,0.00012507872,-0.03573266
38220.62,6.2506857,0,0.0013375593,336.1539398416825,563.7812043224208,1212,34017.062,5.489762,1168.2488,0.29574928,38220.62,6.2506857,0,,,,,336.1539398416825,0.00019459926,563.7812043224208,0.00015680272,-8.9370085e-05,-0.035855025
38223.117,6.252385,0,0.0013385174,336.1543300063411,563.7813820515264,1213,34019.082,5.489745,1166.7073,0.29580846,38223.117,6.252385,0,,,,,336.1543300063411,0.00019458417,563.7813820515264,0.00015680605,0.00023574923,-0.035872694
38219.004,6.253389,0,0.0013394755,336.1543359150037,563.7811381187084,1214,34016.0,5.489545,1165.5276,0.296013,38219.004,6.253389,0,,,,,336.1543359150037,0.00019461979,563.7811381187084,0.00015681029,0.00033140168,-0.03573587
38210.984,6.2493763,0,0.0013404335,336.1541694727863,563.7812620633829,1215,34008.78,5.4891934,1166.9829,0.29593366,38210.984,6.2493763,0,,,,,336.1541694727863,0.00019463839,563.7812620633829,0.00015685827,7.375581e-05,-0.035730366
