toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,st_tmag,st_dist,pl_orbpererr1,pl_orbpererr2,pl_trandurherr1,pl_trandurherr2,pl_trandeperr1,pl_trandeperr2,pl_radeerr1,pl_radeerr2,pl_insolerr1,pl_insolerr2,pl_eqterr1,pl_eqterr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_tmagerr1,st_tmagerr2,st_disterr1,st_disterr2
1063.01,PC,10.0665238,2.4023189,839.9044871,2.7272824,54.8791715,694.1792631,5552.0,4.61783,0.791742,9.0689,61.1201,2.37e-05,-2.37e-05,0.1599323,-0.1599323,47.550835,-47.550835,0.2128311,-0.2128311,,,,,187.0,-187.0,0.263463,-0.263463,0.0453065,-0.0453065,0.006,-0.006,0.1009,-0.1009
1064.01,CP,6.4438657,1.9309449,1121.951228,2.460344,60.831305,712.2812841,4803.0,4.52079,0.737189,10.0059,68.0726,1.65e-05,-1.65e-05,0.3014965,-0.3014965,76.157646,-76.157646,1.638728,-1.638728,,,,,178.0,-178.0,2.00348,-2.00348,0.0567035,-0.0567035,0.006,-0.006,0.362,-0.362
1064.02,CP,12.2265595,2.1904379,1206.369329,2.6014766,25.8970378,575.3502049,4803.0,4.52079,0.737189,10.0059,68.0726,2.69e-05,-2.69e-05,0.4219775,-0.4219775,86.60944,-86.60944,1.7533404,-1.7533404,,,,,178.0,-178.0,2.00348,-2.00348,0.0567035,-0.0567035,0.006,-0.006,0.362,-0.362
1065.01,KP,2.160344,1.828854,19357.99299,22.503541,,,5780.0,4.32928,1.2,13.2851,639.004,0.000276,-0.000276,0.14481,-0.14481,1487.6189,-1487.6189,17.500204,-17.500204,,,,,,,,,,,0.006,-0.006,9.4715,-9.4715
1066.01,KP,4.606184,3.121643,13793.03487,12.962219,,,5670.0,4.3925,1.07,11.9707,353.891,0.000392,-0.000392,0.078877,-0.078877,1031.5532,-1031.5532,0.582183,-0.582183,,,,,,,,,,,0.006,-0.006,4.919,-4.919
1067.01,KP,3.1316735,2.4579197,14915.69437,9.4995191,148.6544991,890.5622134,4351.0,4.438,0.76701,13.1686,263.609,3.3e-06,-3.3e-06,0.0815638,-0.0815638,307.91364,-307.91364,0.3442331,-0.3442331,,,,,167.0,-167.0,,,,,0.006,-0.006,1.659,-1.659
1068.01,KP,3.180362,2.111521,21192.46332,13.446487,,,5498.0,4.47934,0.92,13.2887,535.383,0.000247,-0.000247,0.106258,-0.106258,682.47424,-682.47424,0.600679,-0.600679,,,,,,,,,,,0.006,-0.006,7.8145,-7.8145
1069.01,KP,2.9776446,2.962,13022.0,14.4339,758.324,1461.0,5703.0,4.25824,1.22,10.4293,197.996,8e-07,-8e-07,0.099,-0.099,123.052,-123.052,0.765765,-0.765765,,,,,188.0,-188.0,0.298282,-0.298282,0.06,-0.06,0.006,-0.006,3.038,-3.038
107.01,KP,3.9502008,4.444,13914.0,20.5357,1009.38,1570.0,6153.0,4.18077,1.71,9.6433,211.211,2.6e-06,-2.6e-06,0.046,-0.046,95.9899,-95.9899,0.899664,-0.899664,,,,,,,,,0.07,-0.07,0.006,-0.006,2.4835,-2.4835
1070.01,FP,2.9776152,3.25697,43218.11168,26.88423,873.27,1386.5,5740.0,4.29219,1.28,15.7114,,9.78e-05,-9.78e-05,0.030226,-0.030226,416.72778,-416.72778,0.196978,-0.196978,,,,,,,,,,,0.023,-0.023,,
